ds,yhat,yhat_lower,yhat_upper,trend,시군구
2015-07-01,0.20931101666223756,0.18010979882735212,0.23856568712441598,-0.28656509871577535,태백시
2015-10-01,0.21041448594074386,0.1819028558158369,0.23750014813235237,-0.28584260347638685,태백시
2016-01-01,0.2178965991101996,0.19116429705629998,0.2458071587793013,-0.28512010823699835,태백시
2016-04-01,0.18290750213038443,0.15788902494238652,0.2117246928644278,-0.2844019670952991,태백시
2016-07-01,0.21611186285162642,0.18816413541598073,0.24328519278041677,-0.28368382595359987,태백시
2016-10-01,0.2170378220059634,0.1920146665001431,0.24626533313318164,-0.2819052133960358,태백시
2017-01-01,0.20938550053249155,0.18391736519458565,0.23489614465928413,-0.28012660083847174,태백시
2017-04-01,0.20494169941272794,0.1787008107794465,0.2320445175763362,-0.2783841214881665,태백시
2017-07-01,0.2243715764628545,0.19612105515911354,0.25254067958887755,-0.2766222812561912,태백시
2017-10-01,0.22266520419469188,0.19494417828865937,0.24956246546048289,-0.2748389153087267,태백시
2018-01-01,0.2224571155958482,0.19467411375296678,0.25014959231331224,-0.2730555493612623,태백시
2018-04-01,0.22686054791540056,0.19980308449968076,0.2552080392962352,-0.27130384880309677,태백시
2018-07-01,0.230156924924997,0.20465929307236028,0.2564898370529488,-0.26953268490539606,태백시
2018-10-01,0.2288714278922393,0.20378792121979827,0.2557644560190243,-0.26773981299441757,태백시
2019-01-01,0.2340655396699557,0.20494329993551544,0.26145154596669534,-0.2659469410834391,태백시
2019-04-01,0.24762210370525767,0.22055829097589819,0.27426166239773,-0.26419302868726674,태백시
2019-07-01,0.23345648700248695,0.20301480390383692,0.26108567194081994,-0.26241962837558147,태백시
2019-10-01,0.23563034929346732,0.20771985395487483,0.26155692651544965,-0.2606267401237786,태백시
2020-01-01,0.24418285547505686,0.21526577166074243,0.2710754422467236,-0.2588338518719758,태백시
