시군구,날짜,전문의수,고령인구비율,세이상인구,전체인구,공급_raw,수요_raw,접근성_raw,공급지수,수요지수,접근성지수,AMAI_raw,AMAI
평창군,2024-01-01,11,33.57,13618.670000000002,40579.0,0.27107617240444565,0.8077147034181751,0.35,0.28229953030423616,0.14528186116957523,0.35,0.2548120149110786,0.18776895236820218
평창군,2024-04-01,11,34.1,13810.0,40522.0,0.27145747988746854,0.7965242577842143,0.35,0.28275195583270396,0.14298454377978748,0.35,0.25412293873043557,0.1869678372665562
평창군,2024-07-01,10,34.4,13926.0,40472.67,0.24708031370304948,0.7180812868016659,0.35,0.2538281796557997,0.12688077032523193,0.35,0.23925461442002938,0.16968202841720414
평창군,2024-10-01,12,34.9,14090.0,40403.67,0.29700272277246104,0.8516678495386799,0.35,0.31306166788046585,0.1543051235329686,0.35,0.2676954018662686,0.20274708706518252
평창군,2025-01-01,12,35.57,14305.329999999998,40194.67,0.29854704616308586,0.8388481775673824,0.35,0.3148940245931891,0.1516733377833771,0.35,0.2673169858567327,0.2023071432847126
평창군,2025-04-01,11,36.2,14485.329999999998,40004.0,0.27497250274972507,0.7593889818181568,0.35,0.2869225691745284,0.13536094074895844,0.35,0.2526710812965782,0.18527991806636734
평창군,2025-07-01,11,36.7,14638.670000000002,39905.67,0.2756500517345029,0.7514343857741174,0.35,0.28772648850774146,0.13372791982928656,0.35,0.2523321084070129,0.18488583057864438
평창군,2025-10-01,11,37.2,14818.329999999998,39838.0,0.2761182790300718,0.7423238651049073,0.35,0.288282045351162,0.13185759596122903,0.35,0.2518296632904496,0.18430169143418645
홍천군,2009-01-01,17,17.87,12538.0,70172.33,0.2422607315447556,1.3558781304833307,0.45,0.24810969234033017,0.25781584012218217,0.45,0.3173746357051292,0.2605038135121419
홍천군,2009-04-01,16,18.07,12646.33,70084.33,0.228296396641018,1.265189189274675,0.45,0.23154085516871517,0.23919805772861868,0.45,0.305461497525894,0.24665368319059316
홍천군,2009-07-01,19,18.17,12744.67,70070.33,0.2711561369840844,1.490819299362008,0.45,0.2823944091587369,0.28551828415376523,0.45,0.3381130387746103,0.28461413447473827
홍천군,2009-10-01,19,18.33,12807.67,69800.67,0.2722036908814772,1.4834860673330903,0.45,0.2836373433961381,0.28401282476327816,0.45,0.3379574900738076,0.2844332946536053
홍천군,2010-01-01,18,18.57,12890.67,69404.33,0.25934981290072245,1.3963587618021407,0.45,0.268386075594624,0.2661262203626314,0.45,0.3267207834213683,0.2713695788484311
홍천군,2010-04-01,19,18.77,12968.0,69231.67,0.2744408736637438,1.4651449722393584,0.45,0.28629178540845296,0.28024753086124543,0.45,0.3374263773786962,0.28381582678476586
홍천군,2010-07-01,21,18.87,13042.33,69176.67,0.3035705534828433,1.6101417461450522,0.45,0.32085447135884204,0.3100143177303734,0.45,0.3589980633449814,0.3088949165588892
홍천군,2010-10-01,20,18.9,13191.329999999998,69867.33,0.28625682418377807,1.5161473482961916,0.45,0.3003115408457067,0.2907179490437237,0.45,0.3455966588227587,0.2933145382965014
홍천군,2011-01-01,20,18.97,13247.329999999998,69799.0,0.2865370564048195,1.5097381887519978,0.45,0.30064403946255336,0.2894021950374564,0.45,0.3452249505650655,0.2928823929009565
홍천군,2011-04-01,22,19.1,13332.0,69785.0,0.3152539944114065,1.6501650165016502,0.45,0.3347170027063059,0.3182308050798451,0.45,0.3663042819094833,0.3173890746685004
홍천군,2011-07-01,22,19.2,13397.0,69832.0,0.31504181464085235,1.6421586922445324,0.45,0.3344652490715172,0.31658716473291043,0.45,0.36563129957622087,0.3166066701601711
홍천군,2011-10-01,20,19.27,13487.329999999998,69948.33,0.28592533946128523,1.482873185426619,0.45,0.29991823057137407,0.28388700454952814,0.45,0.34300397719419884,0.2903003049435777
홍천군,2012-01-01,21,19.47,13576.670000000002,69646.0,0.3015248542629871,1.54677104179449,0.45,0.3184272267023976,0.29700477138435205,0.45,0.35353543092345463,0.3025440986804617
홍천군,2012-04-01,20,19.63,13671.0,69633.0,0.28722013987620815,1.4629507717065322,0.45,0.301454525525089,0.2797970773935618,0.45,0.34200578672189785,0.2891398157492868
홍천군,2012-07-01,19,19.73,13769.0,69735.67,0.2724574095294417,1.3799113951630475,0.45,0.2839383833664987,0.26274969518819735,0.45,0.33036413643320217,0.2756053153321446
홍천군,2012-10-01,18,19.83,13832.670000000002,69729.0,0.2581422363722411,1.30126721739187,0.45,0.266953272742888,0.24660461543811252,0.45,0.3192147903511814,0.26264316430923496
홍천군,2013-01-01,19,19.97,13931.329999999998,69814.0,0.2721517174205747,1.363832455336282,0.45,0.28357567631232244,0.25944880536828896,0.45,0.32905728788334554,0.27408598243650256
홍천군,2013-04-01,19,20.07,14028.0,69900.0,0.2718168812589413,1.354433989164528,0.45,0.2831783895185356,0.2575193683753441,0.45,0.32823546152050553,0.2731305329104609
홍천군,2013-07-01,18,20.1,14089.670000000002,70096.0,0.2567906870577494,1.277531695206488,0.45,0.2653496445947814,0.24173188474839896,0.45,0.3169515480128675,0.2600119347487879
홍천군,2013-10-01,20,20.03,14142.670000000002,70549.33,0.28348958097830274,1.4141601267653134,0.45,0.29702817630297385,0.2697807115803668,0.45,0.3370000778534543,0.2833202139670697
홍천군,2014-01-01,22,20.1,14216.670000000002,70670.33,0.3113046168031195,1.5474791213413546,0.45,0.33003102267417306,0.29715013498376297,0.45,0.3572171649748581,0.3068244566897479
